#Claim Number,Claim Occurrence 1,Claim Occurrence 2,Borough,Date Occurred,Date Claimed,Amount,name,longitude,latitude
2013PI028836,ROOSEVELT AV,79 ST,QUEENS,9/29/2013,,,2013PI028836,-73.886718,40.747351
2013PI030072,751 GERARD AV,,BRONX,11/12/2013,6/4/2014,11000,2013PI030072,-73.926631,40.82521
2013PI030133,275 E 201 ST,,BRONX,8/27/2013,,,2013PI030133,-73.884051,40.871942
2013PI030408,JORALEMON ST & COURT ST,,BROOKLYN,9/21/2013,,,2013PI030408,-73.990669,40.692505
2013PI030414,BQE & QUEENS BL,,QUEENS,9/12/2013,,,2013PI030414,-73.898894,40.740821
2013PI029252,168-30 127 AV,APT 5F,QUEENS,7/17/2013,,,2013PI029252,-73.772542,40.675705
2013PI029303,2607 DECATUR AV,,BRONX,8/29/2013,,,2013PI029303,-73.890541,40.863306
2013PI021687,2729 MILES AV,,BRONX,5/18/2013,,,2013PI021687,-73.82305,40.817014
2013PI022511,1535 BWAY,,MANHATTAN,6/10/2013,,,2013PI022511,-73.986288,40.758695
2013PI022812,WILLOW AV & LANGERE PL,,STATEN ISLAND,6/14/2013,,,2013PI022812,-74.071887,40.618039
2013PI024095,149 ST,RIVER AV,BRONX,6/15/2013,,,2013PI024095,-73.930315,40.819325
2013PI024841,BLAKE AV & E 98 ST,,BROOKLYN,7/22/2013,,,2013PI024841,-73.921658,40.663851
2013PI018605,3125 PARK AV,APT 10C,BRONX,6/13/2013,,,2013PI018605,-74.018804,40.642659
2013PI018607,3125 PARK AV,APT 10C,BRONX,6/13/2013,,,2013PI018607,-74.018804,40.642659
2013PI018654,238 SCHENECTADY AV,,BROOKLYN,5/7/2013,,,2013PI018654,-73.933981,40.671152
2013PI019045,187-14 PINEVILLE LN,,QUEENS,5/12/2013,,,2013PI019045,-73.754568,40.681309
2013PI019470,GRAND CO & E 166 ST,,BRONX,4/27/2013,,,2013PI019470,-73.919863,40.831955
2013PI020313,830 WASHINGTON AV,,BRONX,6/3/2013,,,2013PI020313,-73.911307,40.82257
2013PI021770,500 W 144 ST,,MANHATTAN,5/16/2013,4/10/2014,9000,2013PI021770,-73.948578,40.824533
2013PI031109,311 AVE U,,BROOKLYN,9/14/2013,,,2013PI031109,-73.972566,40.5973
2013PI031112,2219 W 6 ST,,BROOKLYN,9/7/2013,,,2013PI031112,-73.976658,40.593908
2013PI031113,84-21 CHAPIN PY,,QUEENS,11/15/2013,,,2013PI031113,-73.799475,40.71432
2013PI031116,E 161 ST,MELROSE AV,BRONX,9/13/2013,,,2013PI031116,-73.913841,40.824197
2014PI000016,386 E 161 ST,,BRONX,12/20/2013,,,2014PI000016,-73.914499,40.824159
2014PI000593,611 BLAKE AV,,BROOKLYN,2/10/2013,,,2014PI000593,-73.896431,40.668017
2013PI024897,390 GEORGIA AV,APT #2C,BROOKLYN,7/31/2013,,,2013PI024897,-73.897503,40.666783
2013PI025641,14 ST  & BWAY,,MANHATTAN,9/2/2013,,,2013PI025641,-73.990757,40.734846
2013PI025817,2800 WHITE PLAINS RD,,BRONX,5/15/2013,,,2013PI025817,-73.866951,40.866961
2013PI025818,411 3 AV,,MANHATTAN,9/14/2013,,,2013PI025818,-73.980193,40.742374
2013PI025824,1280 LEXINGTON AV,,MANHATTAN,9/17/2013,,,2013PI025824,-73.955715,40.78003
2013PI022996,LENOX AV,146 ST,MANHATTAN,7/9/2013,,,2013PI022996,-73.935744,40.821115
2013PI022999,678 HANCOCK ST,,BROOKLYN,8/14/2013,,,2013PI022999,-73.928365,40.684798
2013PI023605,548 W 164 ST,,MANHATTAN,8/16/2013,,,2013PI023605,-73.940646,40.837748
2013PI018678,ATLANTIC AV,SHEFFIELD AV,BROOKLYN,4/11/2013,,,2013PI018678,-73.897846,40.675682
2013PI019579,199 ST,GRAND CONCOURSE,BRONX,6/18/2013,,,2013PI019579,-73.888687,40.871502
2013PI019788,179 BRABANT ST,,STATEN ISLAND,4/25/2013,,,2013PI019788,-74.163476,40.632677
2013PI019820,169 E 92 ST,,BROOKLYN,2/2/2013,,,2013PI019820,-73.926177,40.661005
2013PI020072,120 SCHERMERHORN ST,,BROOKLYN,6/28/2013,,,2013PI020072,-73.988964,40.689719
2013PI020075,1710 CARROLL ST,,BROOKLYN,5/17/2013,,,2013PI020075,-73.92995,40.665781
2014PI001243,418 E 23 ST,,BROOKLYN,10/22/2013,,,2014PI001243,-73.956421,40.639913
2014PI000741,1005 WALTON AV,,BRONX,10/4/2013,,,2014PI000741,-73.922524,40.830406
2014PI001093,858 E 164 ST,3RD FL,BRONX,12/13/2013,,,2014PI001093,-73.899585,40.823375
2014PI001397,3450 KINGSBRIDGE AV,,BRONX,12/24/2013,,,2014PI001397,-73.902333,40.883383
2013PI020625,204-04 42 AV,,QUEENS,5/12/2013,,,2013PI020625,-73.780064,40.760399
2013PI025763,2720 DECATUR AV,,BRONX,7/27/2013,,,2013PI025763,-73.887974,40.865255
2014PI003991,MARBLE HILL AV & 225 ST,,BRONX,11/22/2013,,,2014PI003991,-73.911089,40.87467
2014PI001702,1011 E 216 ST,,BRONX,10/9/2013,,,2014PI001702,-73.855145,40.878928
2014PI001708,E 161 ST,MELROSE AV,BRONX,12/20/2013,,,2014PI001708,-73.913841,40.824197
2014PI002239,1186 WASHINGTON AV,,BRONX,10/22/2013,,,2014PI002239,-73.906989,40.83046
2014PI002617,5 AV & 46 ST,,MANHATTAN,12/31/2013,,,2014PI002617,-73.979027,40.75604
2014PI002622,LINDEN BL,170 ST,QUEENS,11/29/2013,,,2014PI002622,-73.77996,40.691379
2013PI029148,BWAY,HALSEY ST,BROOKLYN,8/17/2013,,,2013PI029148,-73.91529,40.685654
2013PI026697,74 W 119 ST,,MANHATTAN,10/7/2013,,,2013PI026697,-73.947619,40.803437
2013PI026704,97 E 165 ST,,BRONX,10/11/2013,,,2013PI026704,-73.921796,40.831673
2013PI030671,2041 PACIFIC ST,APT 3C,BROOKLYN,9/22/2013,,,2013PI030671,-73.920042,40.676267
2013PI030679,940 FOX ST,APT 5H,BRONX,9/6/2013,,,2013PI030679,-73.893367,40.821248
2014PI001203,LINDEN BL,PENNSYLVANIA AV,BROOKLYN,11/26/2013,,,2014PI001203,-73.890624,40.658586
2014PI002509,1420 GRAND CO,,BRONX,1/15/2013,,,2014PI002509,-73.91268,40.839284
2014PI008849,737 MELROSE AVE,,BRONX,12/22/2013,,,2014PI008849,-73.916104,40.820699
2014PI002670,SUTPHIN BL,ROCKAWAY BL,QUEENS,12/19/2013,,,2014PI002670,-73.786871,40.672832
2014PI004903,BAILEY AV & W 193 ST,,BRONX,11/21/2013,,,2014PI004903,-73.906853,40.870791
2014PI004919,123-07 LIBERTY AV,,QUEENS,12/21/2013,,,2014PI004919,-73.820928,40.687514
2014PI006309,34-20 LINDEN PL,,QUEENS,11/30/2013,,,2014PI006309,-73.831684,40.765767
2014PI006399,11 E 183 ST,,BRONX,12/12/2013,,,2014PI006399,-73.903281,40.858733
2013PI031266,380 E 173 ST,,BRONX,11/17/2013,,,2013PI031266,-73.903961,40.842968
2013PI031729,465 E 10 ST,,MANHATTAN,9/21/2013,,,2013PI031729,-73.973617,40.725275
2013PI032351,395 BROOK AV,,BRONX,10/18/2013,,,2013PI032351,-73.917561,40.811261
2013PI032353,TRINITY AV & 160 ST,161 ST,BRONX,10/4/2013,,,2013PI032353,-73.906815,40.820952
2013PI032362,1806 CROTONA AV,,BRONX,11/22/2013,,,2013PI032362,-73.893148,40.842901
2013PI027171,291 HOOPER ST,,BROOKLYN,8/22/2013,,,2013PI027171,-73.954112,40.707302
2013PI027753,HASSOCK ST,REDFERN AV,QUEENS,7/31/2013,,,2013PI027753,-73.752269,40.608067
2013PI028202,307 E 101 ST,,MANHATTAN,9/5/2013,6/18/2014,3500,2013PI028202,-73.943151,40.786922
2013PI029749,687 8 AV,,MANHATTAN,8/6/2013,,,2013PI029749,-73.98944,40.758292
2014PI013295,1265 COLLEGE AV,,BRONX,11/27/2013,,,2014PI013295,-73.912603,40.834576
2013PI032830,2027 LEXINGTON AV,,MANHATTAN,11/19/2013,,,2013PI032830,-73.937885,40.803446
2013PI031261,2612 BWAY,APT 415,MANHATTAN,10/30/2013,,,2013PI031261,-73.970144,40.796157
2013PI031751,1160 FOREST AV,,BRONX,11/26/2013,,,2013PI031751,-73.901648,40.828507
2013PI031756,250 TOMPKINS AV,,BROOKLYN,11/13/2013,,,2013PI031756,-73.944989,40.690269
2013PI031923,3539 BROADWAY,,MANHATTAN,9/11/2013,,,2013PI031923,-73.951027,40.826368
2013PI032062,JEROME AV,E 167 ST,BRONX,9/18/2013,,,2013PI032062,-73.922373,40.836118
2013PI032070,55 HOLLAND AV,,STATEN ISLAND,9/10/2013,,,2013PI032070,-74.170309,40.639134
2013PI032075,995 E 173 ST,,BRONX,9/13/2013,,,2013PI032075,-73.885413,40.834731
2014PI016598,53 TROUTMAN ST,,BROOKLYN,9/10/2013,,,2014PI016598,-73.932147,40.698566
2014PI003796,1410 GRAND CO,,BRONX,11/13/2013,,,2014PI003796,-73.913034,40.838987
2014PI003919,39-07 PRINCE ST,,QUEENS,11/6/2013,,,2014PI003919,-73.83196,40.759454
2013PI032419,2851 HEATH AV,,BRONX,10/16/2013,,,2013PI032419,-73.904046,40.874269
2013PI032680,100 CENTRE ST,,MANHATTAN,9/20/2013,,,2013PI032680,-74.000795,40.716078
2014PI000078,2120 RYER AV,,BRONX,10/20/2013,,,2014PI000078,-73.900121,40.85396
2013PI026595,UTICA AV & MONTGOMERY ST,,BROOKLYN,8/3/2013,,,2013PI026595,-73.931541,40.664352
2013PI026637,LIVONIA AV & ROCKAWAY AV,,BROOKLYN,7/13/2013,,,2013PI026637,-73.908921,40.662563
2014PI003324,330 BUSHWICK AV,,BROOKLYN,11/7/2013,,,2014PI003324,-73.93969,40.705171
2013PI019818,1378 COLLEGE AV,,BRONX,6/19/2013,,,2013PI019818,-73.910594,40.836982
2013PI026751,168 ST,UNION TP,QUEENS,9/28/2013,,,2013PI026751,-73.800196,40.722948
2013PI026940,E 125 ST,3 AV,MANHATTAN,8/10/2013,,,2013PI026940,-73.935819,40.803708
2013PI027064,HERKIMER ST,ALBANY AV,BROOKLYN,9/9/2013,,,2013PI027064,-73.938509,40.679043
2013PI027155,1020 TRINITY AV,,BRONX,8/28/2013,,,2013PI027155,-73.903372,40.8258
2013PI027157,41-11 10 ST,,QUEENS,9/6/2013,,,2013PI027157,-73.945528,40.754601
2013PI027159,370 MORRIS AV,,BRONX,8/14/2013,,,2013PI027159,-73.924795,40.813269
2013PI019424,284 LEGION ST,,BROOKLYN,7/5/2013,,,2013PI019424,-73.916819,40.661808
2013PI020266,320 JAY ST,,BROOKLYN,8/1/2013,,,2013PI020266,-73.987697,40.69461
2013PI020425,E 194 ST,KINGSBRIDGE RD,BRONX,5/14/2013,,,2013PI020425,-73.893469,40.865391
2013PI020839,1705 HOE AV,,BRONX,7/4/2013,,,2013PI020839,-73.887361,40.836684
2013PI027362,589 E 34 ST,,BROOKLYN,8/10/2013,,,2013PI027362,-73.944471,40.642148
2013PI027525,2070 THIRD AVE,,MANHATTAN,7/12/2013,,,2013PI027525,-73.942244,40.796416
2013PI027539,979 GRANT AV,,BRONX,7/25/2013,,,2013PI027539,-73.918179,40.82863
2013PI027755,47 GRAHAM AV,,BROOKLYN,10/8/2013,6/19/2014,5000,2013PI027755,-73.942844,40.703174
2013PI019701,2165 KIMBALL ST,,BROOKLYN,5/1/2013,,,2013PI019701,-73.925068,40.608906
2013PI019708,GRAND CO & ECHO PL,,BRONX,5/9/2013,,,2013PI019708,-73.905625,40.849933
2013PI021690,710 HUNTS POINT AV,,BRONX,8/13/2013,5/27/2014,15000,2013PI021690,-73.885992,40.815068
2013PI021897,163-40 JAMAICA AV,,QUEENS,5/20/2013,,,2013PI021897,-73.79562,40.704769
2013PI028023,501 MADISON ST,,BROOKLYN,8/26/2013,,,2013PI028023,-73.937446,40.68647
2013PI028155,MARCUS GARVEY BL,VAN BUREN ST,BROOKLYN,8/9/2013,,,2013PI028155,-73.939533,40.690492
2013PI028212,1579 STERLING PL,,BROOKLYN,10/4/2013,,,2013PI028212,-73.926238,40.671496
2013PI028633,85-05 NORTHERN BL,,QUEENS,10/15/2013,5/28/2014,20000,2013PI028633,-73.882346,40.756163
2013PI028678,BOSTON RD,174 ST,BRONX,10/22/2013,,,2013PI028678,-73.887768,40.837379
2013PI028798,600 EXTERIOR ST,,BRONX,8/18/2013,,,2013PI028798,-73.930823,40.821282
2013PI028866,JEROME AV,E 181 ST,BRONX,8/18/2013,,,2013PI028866,-73.905573,40.855796
2014PI005260,354 OCEAN AV,,BROOKLYN,12/22/2013,,,2014PI005260,-73.962189,40.654158
2013PI019411,140 CARVER LOOP,,BRONX,7/6/2013,,,2013PI019411,-73.828221,40.874126
2013PI019452,E 171 ST,GRAND CO,BRONX,7/24/2013,,,2013PI019452,-73.913135,40.839819
2013PI019455,E 141 ST,CYPRESS AV,BRONX,7/24/2013,,,2013PI019455,-73.913397,40.807618
2013PI019488,1755 STORY AV,,BRONX,5/29/2013,,,2013PI019488,-73.865379,40.823739
2013PI029131,1539 STERLING PL,,BROOKLYN,8/4/2013,,,2013PI029131,-73.927546,40.671538
2013PI029463,158-10 SANFORD AV,,QUEENS,9/26/2013,,,2013PI029463,-73.807252,40.760634
2013PI020027,1711 RANDALL AV,,BRONX,5/2/2013,,,2013PI020027,-73.868036,40.817585
2013PI021119,46 PARROTT PL,,BROOKLYN,5/16/2013,,,2013PI021119,-74.022575,40.617212
2013PI021147,2319 8 AV,,MANHATTAN,8/9/2013,,,2013PI021147,-73.952137,40.810114
2013PI020606,674 E 226 ST,APT 4B,BRONX,7/9/2013,,,2013PI020606,-73.861161,40.888553
2013PI029554,861 E 46 ST,,BROOKLYN,8/19/2013,,,2013PI029554,-73.93278,40.640292
2013PI029802,480 KNICKERBOCKER AV,,BROOKLYN,10/17/2013,,,2013PI029802,-73.918083,40.697964
2014PI006664,BWAY & W 233 ST,,BRONX,12/3/2013,,,2014PI006664,-73.903436,40.880831
2013PI021214,BAY 44 ST & SHORE PKWY,,BROOKLYN,8/11/2013,,,2013PI021214,-73.991868,40.588489
2013PI021309,665 JEFFERSON PL,,BRONX,8/13/2013,,,2013PI021309,-73.898757,40.833237
2013PI021373,805 E 156 ST,,BRONX,8/3/2013,,,2013PI021373,-73.903846,40.817873
2013PI021375,805 E 156 ST,,BRONX,8/3/2013,,,2013PI021375,-73.903846,40.817873
2013PI021526,4453 WHITE PLAINS RD,,BRONX,5/25/2013,,,2013PI021526,-73.853486,40.899914
2013PI021746,WASHINGTON AV,E 170 ST,BRONX,7/31/2013,,,2013PI021746,-73.904634,40.835349
2013PI021750,PITKIN AV,JUNIUS ST,BROOKLYN,5/23/2013,,,2013PI021750,-73.903272,40.670801
2013PI030543,4703 CHURCH AV,,BROOKLYN,9/1/2013,,,2013PI030543,-73.933074,40.651886
2013PI030664,AVE W,E 28 ST,BROOKLYN,9/5/2013,,,2013PI030664,-73.942961,40.595716
2013PI030743,CRESTON AV,E 184 ST,BRONX,9/3/2013,,,2013PI030743,-73.899823,40.859653
2013PI030845,ST JOHN PL,NOSTRAND AV,BROOKLYN,11/1/2013,,,2013PI030845,-73.950336,40.671646
2013PI030846,222 BROOKLYN AV,,BROOKLYN,3/8/2013,,,2013PI030846,-73.945001,40.672371
2014PI016194,2120 RYER AV,,BRONX,7/26/2013,,,2014PI016194,-73.900121,40.85396
2014PI016224,652 ROCKAWAY STREET,,STATEN ISLAND,10/4/2013,,,2014PI016224,-74.239635,40.50096
2013PI022131,ATLANTIC AV & GUNTHER PL,,BROOKLYN,8/13/2013,,,2013PI022131,-73.911869,40.676404
2013PI022135,125-01 QUEENS BL,,QUEENS,8/14/2013,3/3/2014,20000,2013PI022135,-73.825646,40.712853
2013PI031255,151 W 34 ST,,MANHATTAN,9/12/2013,,,2013PI031255,-73.989167,40.750853
2013PI031256,151 W 34 ST,,MANHATTAN,9/12/2013,,,2013PI031256,-73.989167,40.750853
2013PI031276,BURNSIDE AV,CRESTON AV,BRONX,10/10/2013,,,2013PI031276,-73.904757,40.852828
2013PI031364,1952 SECOND AV,,MANHATTAN,9/9/2013,,,2013PI031364,-73.944494,40.786928
2013PI031365,1952 SECOND AV,,MANHATTAN,9/9/2013,,,2013PI031365,-73.944494,40.786928
2013PI031736,62-15 69 ST,,QUEENS,11/12/2013,,,2013PI031736,-73.888966,40.717424
2013PI022611,DECATUR AV,E 199 ST,BRONX,7/4/2013,,,2013PI022611,-73.885027,40.867527
2013PI023064,E 174 ST,MANOR AV,BRONX,7/27/2013,5/1/2014,12500,2013PI023064,-73.877378,40.833778
2013PI023065,319 AUDUBON AV,,MANHATTAN,8/9/2013,,,2013PI023065,-73.932338,40.848456
2013PI031850,GRAND CO,149 ST,BRONX,12/9/2013,,,2013PI031850,-73.927318,40.818568
2013PI031852,GRAND CO,149 ST,BRONX,12/9/2013,,,2013PI031852,-73.927318,40.818568
2013PI032258,1 AV & E 102 ST,,MANHATTAN,12/10/2013,,,2013PI032258,-73.941937,40.787073
2013PI032325,1135 BOYNTON AV,,BRONX,11/6/2013,,,2013PI032325,-73.878292,40.827653
2013PI032328,626 ROSEDALE AV,,BRONX,10/11/2013,,,2013PI032328,-73.865579,40.817437
2014PI007937,227 RIVERSIDE DR,,MANHATTAN,12/11/2013,,,2014PI007937,-73.975724,40.795231
2013PI023616,188-48 WOODHULL AV,,QUEENS,6/18/2013,,,2013PI023616,-73.769156,40.710209
2013PI023744,1952 1 AV,,MANHATTAN,7/3/2013,,,2013PI023744,-73.941935,40.785884
2013PI032486,109-15 98 ST,MS 137,QUEENS,10/10/2013,,,2013PI032486,-73.839383,40.678121
2014PI008443,E 183 ST,GRAND CO,BRONX,12/27/2013,,,2014PI008443,-73.899957,40.857429
2013PI024160,518 BROOK AV,,BRONX,6/19/2013,,,2013PI024160,-73.914963,40.814322
2013PI032981,841 FLATBUSH AV,,BROOKLYN,11/12/2013,,,2013PI032981,-73.958748,40.651876
2014PI000057,1670 SOUTHERN BL,,BRONX,10/4/2013,,,2014PI000057,-73.888168,40.836021
2013PI002814,70-02 COOPER AV,,QUEENS,1/21/2013,,,2013PI002814,-73.880834,40.701754
2013PI002817,342 E 100 ST,,MANHATTAN,1/14/2013,10/2/2013,5000,2013PI002817,-73.94326,40.78583
2013PI001793,BRONXDALE AV,MORRIS PARK AV,BRONX,1/3/2013,,,2013PI001793,-73.859441,40.846666
2013PI001873,49 W 225 ST,,BRONX,1/15/2013,,,2013PI001873,-73.908103,40.874711
2013PI001904,1333 GRANT HY,,BRONX,1/12/2013,4/8/2014,30000,2013PI001904,-73.92175,40.83977
2013PI001609,1313 STERLING PL,,BROOKLYN,1/13/2013,,,2013PI001609,-73.935077,40.671937
2013PI001633,2675 VALENTINE AV,,BRONX,1/3/2013,,,2013PI001633,-73.893135,40.866209
2013PI001639,2675 VALENTINE AV,,BRONX,1/3/2013,,,2013PI001639,-73.893135,40.866209
2014PI005200,481 8 AV,,MANHATTAN,11/24/2013,,,2014PI005200,-73.993645,40.752734
2014PI007668,640 WATER ST,,MANHATTAN,12/19/2013,,,2014PI007668,-73.982889,40.712344
2013PI019294,1095 PROSPECT AV,,BRONX,4/24/2013,,,2013PI019294,-73.899361,40.826005
2013PI019297,1095 PROSPECT AV,,BRONX,4/24/2013,,,2013PI019297,-73.899361,40.826005
2014PI008623,1531 WESTCHESTER AV,,BRONX,5/4/2013,,,2014PI008623,-73.878774,40.8289
2013PI022398,210 E 115 ST,APT 2A,MANHATTAN,7/31/2013,,,2013PI022398,-73.94008,40.796245
2013PI022416,1151 ELDER AV,,BRONX,6/2/2013,,,2013PI022416,-73.879207,40.827476
2013PI022417,1151 ELDER AV,,BRONX,6/2/2013,,,2013PI022417,-73.879207,40.827476
2013PI022566,BROADWAY & FULTON ST,,MANHATTAN,5/25/2013,,,2013PI022566,-74.009062,40.710895
2013PI023584,SUTTER AV & UNION ST,,BROOKLYN,9/2/2013,,,2013PI023584,-73.921367,40.665501
2013PI023689,230 E 102 ST,,MANHATTAN,9/5/2013,,,2013PI023689,-73.94613,40.787574
2013PI023690,2850 CRESTON AV,,BRONX,6/12/2013,,,2013PI023690,-73.891519,40.870767
2013PI018875,3456 BWAY,APT 6C,MANHATTAN,4/20/2013,,,2013PI018875,-73.952102,40.823566
2013PI018879,235 TROY AVE,,BROOKLYN,6/13/2013,,,2013PI018879,-73.936155,40.671271
2013PI018895,1940 WEBSTER AV,,BRONX,6/9/2013,,,2013PI018895,-73.899908,40.848668
2013PI024836,168 ST & BOSTON RD,,BRONX,9/10/2013,10/21/2013,1500,2013PI024836,-73.902242,40.829606
2014PI001516,101 W 165 ST,APT 5G,BRONX,5/16/2013,,,2014PI001516,-73.927084,40.834227
2013PI023699,127 AVE X,,BROOKLYN,9/7/2013,2/11/2014,13500,2013PI023699,-73.979953,40.591482
2013PI024403,BRONXWOOD AV,E 227 ST,BRONX,8/15/2013,,,2013PI024403,-73.853937,40.887396
2013PI024508,149 ST & BERGEN AV,,BRONX,7/26/2013,,,2013PI024508,-73.916772,40.815707
2013PI026631,ROBINSON AV & KING ST,,STATEN ISLAND,7/10/2013,,,2013PI026631,-74.152495,40.538433
2013PI026633,1430 AMSTERDAM AV,,MANHATTAN,9/21/2013,,,2013PI026633,-73.955475,40.815843
2013PI018890,CLAY AV & E 170 ST,,BRONX,6/15/2013,,,2013PI018890,-73.907981,40.837186
2013PI020634,1125 BOSTON RD,,BRONX,5/7/2013,,,2013PI020634,-73.904463,40.828062
2013PI026724,8 AV,42 ST,MANHATTAN,9/14/2013,,,2013PI026724,-73.989794,40.757241
2013PI026813,S AV & AMADOR ST,,STATEN ISLAND,7/21/2013,5/28/2014,4000,2013PI026813,-74.167406,40.623918
2013PI026890,390 HINSDALE ST,,BROOKLYN,6/9/2013,,,2013PI026890,-73.899333,40.665445
2013PI027649,30 ALBERT CT,,STATEN ISLAND,8/9/2013,,,2013PI027649,-74.163088,40.624545
2013PI023109,40-16 VERNON BL,APT 4D,QUEENS,4/10/2013,,,2013PI023109,-73.945786,40.756748
2013PI018233,52 E 125 ST,,MANHATTAN,4/9/2013,,,2013PI018233,-73.940563,40.805412
2013PI018459,FARRAGUT AV & REGIS DR,,STATEN ISLAND,5/12/2013,,,2013PI018459,-74.165169,40.620921
2013PI028189,LEX AV & 109 ST,,MANHATTAN,10/23/2013,,,2013PI028189,-73.944867,40.794186
2013PI010856,354 CYPRESS AV,,BRONX,2/13/2013,,,2013PI010856,-73.912489,40.808674
2013PI007071,415 W 25 ST,,MANHATTAN,1/30/2013,,,2013PI007071,-74.001196,40.748529
2013PI014777,2245 BRONXWOOD AV,,BRONX,3/1/2013,,,2013PI014777,-73.863218,40.858805
2013PI014255,133 BEACH 56 PL,APT 301,QUEENS,5/10/2013,,,2013PI014255,-73.787468,40.590673
2013PI014257,133 BEACH 56 PL,APT 301,QUEENS,5/10/2013,,,2013PI014257,-73.787468,40.590673
2013PI014349,90-38 170 ST,,QUEENS,3/13/2013,6/6/2014,37500,2013PI014349,-73.790374,40.707625
2013PI014457,125TH ST & LEXINGTON AV,PARK AV,MANHATTAN,5/25/2013,,,2013PI014457,-73.937422,40.804384
2013PI014464,6 AV,57 ST,MANHATTAN,5/28/2013,6/17/2014,9000,2013PI014464,-73.977197,40.764331
2013PI001957,GRAND CO,E 182 ST,BRONX,1/17/2013,,,2013PI001957,-73.900779,40.856055
2013PI003193,FLATBUSH AV & E 31 ST,,BROOKLYN,1/9/2013,,,2013PI003193,-73.946562,40.631793
2013PI002181,1600 OCEAN PKWY,,BROOKLYN,1/4/2013,,,2013PI002181,-73.968394,40.609856
2013PI013719,ATLANTIC AV,EASTERN PY,BROOKLYN,4/27/2013,,,2013PI013719,-73.908091,40.676198
2013PI014859,1068 NOSTRAND AV,,BROOKLYN,5/7/2013,6/19/2014,4500,2013PI014859,-73.951065,40.661957
2013PI014948,43 AV & 108 ST,,QUEENS,5/19/2013,2/21/2014,15000,2013PI014948,-73.857717,40.748699
2013PI015006,WALTON AV,E MT EDEN AV,BRONX,5/14/2013,,,2013PI015006,-73.913032,40.843651
2013PI004672,682 ROGERS AV,,BROOKLYN,1/31/2013,,,2013PI004672,-73.953272,40.654778
2013PI005177,REDFERN AV & NAMEOKE ST,,QUEENS,1/13/2013,10/15/2013,3000,2013PI005177,-73.752443,40.607785
2013PI008533,695 ROCKAWAY AV,,BROOKLYN,3/15/2013,,,2013PI008533,-73.908986,40.662859
2013PI009328,143 AVE B,,MANHATTAN,3/26/2013,,,2013PI009328,-73.979989,40.726333
2013PI015715,306 E 169 ST,,BRONX,3/20/2013,,,2013PI015715,-73.911873,40.834694
2013PI016159,37-35 95 ST,,QUEENS,5/17/2013,,,2013PI016159,-73.871757,40.750102
2013PI003326,101-19 JAMAICA AV,,QUEENS,1/2/2013,3/18/2014,30000,2013PI003326,-73.845714,40.695361
2013PI003410,1490 CROTONA PARK EAST,,BRONX,1/8/2013,1/9/2014,30000,2013PI003410,-73.894724,40.8355
2013PI014687,58 JOHN ST,APT 2,STATEN ISLAND,5/16/2013,4/24/2014,20000,2013PI014687,-74.143091,40.637538
2013PI014853,7 AV & W 12 ST,,MANHATTAN,3/8/2013,,,2013PI014853,-74.000647,40.737237
2013PI015044,2955 8 AV,,MANHATTAN,4/11/2013,,,2013PI015044,-73.937646,40.831055
2013PI005348,215 E GUN HILL RD,,BRONX,2/15/2013,,,2013PI005348,-73.877103,40.880776
2013PI003311,312 DELANCEY ST,,MANHATTAN,1/11/2013,,,2013PI003311,-73.977809,40.717552
2013PI003329,101-19 JAMAICA AV,,QUEENS,1/2/2013,3/18/2014,20000,2013PI003329,-73.845714,40.695361
2013PI003468,320 JAY ST,,BROOKLYN,1/4/2013,,,2013PI003468,-73.987697,40.69461
2013PI013083,914 HOE AV,,BRONX,3/11/2013,,,2013PI013083,-73.889995,40.821402
2013PI013166,SARATOGA AV,LIVONIA AV,BROOKLYN,3/3/2013,,,2013PI013166,-73.915479,40.661582
2013PI015550,2090 MOHEGAN AV,,BRONX,5/15/2013,,,2013PI015550,-73.88349,40.845109
2013PI016001,112-05 203 ST,,QUEENS,3/21/2013,,,2013PI016001,-73.752853,40.703275
2013PI003655,398 E 3 ST,,BROOKLYN,1/11/2013,,,2013PI003655,-73.977409,40.641852
2013PI006514,UNIVERSITY AV,W 179 ST,BRONX,2/17/2013,,,2013PI006514,-73.911195,40.854831
2013PI012304,E 170 ST,CLAY AV,BRONX,3/7/2013,,,2013PI012304,-73.907981,40.837186
2013PI013959,WILLIAMS AV,LIVONIA AV,BROOKLYN,3/3/2013,,,2013PI013959,-73.897759,40.664208
2013PI016363,HART ST,IRVING AV,BROOKLYN,5/1/2013,,,2013PI016363,-73.921583,40.703123
2013PI003776,162-10 JAMAICA AV,,QUEENS,1/17/2013,,,2013PI003776,-73.797073,40.703668
2013PI012355,BROOK AV & 146 ST,,BRONX,5/4/2013,,,2013PI012355,-73.916092,40.812975
2013PI004578,3059 VALENTINE AV,,BRONX,2/5/2013,1/8/2014,20000,2013PI004578,-73.88503,40.874106
2013PI005737,165 ST,BOSTON RD,BRONX,2/20/2013,,,2013PI005737,-73.907032,40.825819
2013PI009374,1811 WATERLOO PL,,BRONX,3/1/2013,10/28/2013,7500,2013PI009374,-73.888114,40.840058
2013PI009622,1454 GRAND CO,,BRONX,4/2/2013,,,2013PI009622,-73.912567,40.839898
2013PI009633,340 ALEXANDER AV,,BRONX,2/1/2013,4/16/2014,20000,2013PI009633,-73.922162,40.812118
2013PI009634,340 ALEXANDER AV,,BRONX,2/1/2013,,,2013PI009634,-73.922162,40.812118
