#Claim Number,Claim Occurrence 1,Claim Occurrence 2,Borough,Date Occurred,Date Claimed,Amount,name,longitude,latitude
2013PI009982,2391 HOFFMAN ST,APT 4,BRONX,1/24/2013,,,2013PI009982,-73.888879,40.855926
2013PI010019,610 W 152 ST,,MANHATTAN,1/17/2013,,,2013PI010019,-73.948187,40.831013
2013PI010100,PITKIN AV,SARATOGA AV,BROOKLYN,1/10/2013,,,2013PI010100,-73.917308,40.668717
2013PI010131,W 181 ST,ST NICHOLAS AV,MANHATTAN,1/15/2013,,,2013PI010131,-73.933732,40.849329
2013PI010191,234 RALPH AV,,BROOKLYN,2/21/2013,,,2013PI010191,-73.923884,40.680393
2013PI010209,355 BARD AV,,STATEN ISLAND,4/12/2013,,,2013PI010209,-74.10549,40.635871
2013PI010212,PITKIN AV & ATKINS AV,,BROOKLYN,1/11/2013,,,2013PI010212,-73.878961,40.674393
2013PI010310,11725 FARMERS BL,,QUEENS,1/17/2013,,,2013PI010310,-73.761943,40.690887
2013PI010317,2255 MORRIS AV,,BRONX,1/17/2013,6/18/2014,30000,2013PI010317,-73.902668,40.857424
2013PI010321,2440 WEBB AV,,BRONX,2/4/2013,,,2013PI010321,-73.90607,40.864881
2013PI010324,LINDEN BL,159 ST,QUEENS,2/1/2013,,,2013PI010324,-73.788679,40.688189
2013PI010363,SUTTER AVENUE,HOWARD AVE,BROOKLYN,3/31/2013,,,2013PI010363,-73.919413,40.665787
2013PI010430,60 E 102 ST,,MANHATTAN,3/15/2013,,,2013PI010430,-73.951296,40.7898
2013PI010464,2705 WILLIAMSBRIDGE RD,,BRONX,3/11/2013,,,2013PI010464,-73.860297,40.865831
2013PI010467,666 E 224 ST,,BRONX,2/21/2013,,,2013PI010467,-73.862245,40.887308
2013PI010481,64-02 CATALPA AVE,104 PRECINCT,QUEENS,2/6/2013,,,2013PI010481,-73.893554,40.704267
2013PI010544,524 GEORGIA AV,,BROOKLYN,1/21/2013,,,2013PI010544,-73.89598,40.66357
2013PI010567,295 OSBORN ST,,BROOKLYN,3/1/2013,,,2013PI010567,-73.907584,40.665172
2013PI010593,155 LINDEN BL,,BROOKLYN,4/4/2013,,,2013PI010593,-73.953154,40.652999
2013PI010640,147-54 71 RD,,QUEENS,1/18/2013,,,2013PI010640,-73.81882,40.727933
2013PI010678,822 E 220 ST,APT 1,BRONX,1/23/2013,,,2013PI010678,-73.858815,40.882896
2013PI010794,107 E 126 ST,,MANHATTAN,4/20/2013,6/13/2014,12000,2013PI010794,-73.937229,40.805682
2013PI010803,BROOME ST,ESSEX ST,MANHATTAN,2/24/2013,,,2013PI010803,-73.988671,40.717658
2013PI010845,1829 LEXINGTON AV,,MANHATTAN,4/11/2013,,,2013PI010845,-73.942244,40.796416
2013PI010947,682 RALPH AV,,BROOKLYN,3/11/2013,,,2013PI010947,-73.923151,40.666191
2013PI010959,54 E 184 ST,46 PCT,BRONX,4/11/2013,4/4/2014,7500,2013PI010959,-73.901326,40.860162
2013PI011057,494 CHAUNCEY ST,,BROOKLYN,1/30/2013,,,2013PI011057,-73.91224,40.682155
2013PI011062,494 CHAUNCEY ST,,BROOKLYN,1/30/2013,,,2013PI011062,-73.91224,40.682155
2013PI011068,494 CHAUNCEY ST,,BROOKLYN,1/30/2013,,,2013PI011068,-73.91224,40.682155
2013PI011156,494 CHAUNCEY ST,,BROOKLYN,1/30/2013,,,2013PI011156,-73.91224,40.682155
2013PI011157,494 CHAUNCEY ST,,BROOKLYN,1/30/2013,,,2013PI011157,-73.91224,40.682155
2013PI011162,494 CHAUNCEY ST,,BROOKLYN,1/30/2013,,,2013PI011162,-73.91224,40.682155
2013PI011222,410 SUTTER AV,,BROOKLYN,3/22/2013,,,2013PI011222,-73.904759,40.667162
2013PI011239,494 CHAUNCEY ST,,BROOKLYN,1/30/2013,,,2013PI011239,-73.91224,40.682155
2013PI011358,BARNES AV & E 218 ST,,BRONX,3/27/2013,,,2013PI011358,-73.860328,40.881967
2013PI011399,EASTERN PY & UTICA AV,,BROOKLYN,3/14/2013,,,2013PI011399,-73.931122,40.668806
2013PI011449,222 BROOKLYN AV,,BROOKLYN,3/8/2013,,,2013PI011449,-73.945001,40.672371
2013PI011462,920 E TREMONT AV,,BRONX,2/19/2013,,,2013PI011462,-73.883793,40.841476
2013PI011475,35-01 UNION ST,,QUEENS,2/21/2013,,,2013PI011475,-73.826813,40.764898
2013PI011540,1077 CASTLETON AV,,STATEN ISLAND,5/1/2013,,,2013PI011540,-74.118892,40.635586
2013PI011606,41 AV,75 ST,QUEENS,4/19/2013,,,2013PI011606,-73.890186,40.745312
2013PI011637,905 WINTHROP ST,,BROOKLYN,1/31/2013,,,2013PI011637,-73.928749,40.659096
2013PI011664,MONTEREY AV,E TREMONT AV,BRONX,4/19/2013,,,2013PI011664,-73.895361,40.846526
2013PI011747,2111 SOUTHERN BL,,BRONX,2/2/2013,,,2013PI011747,-73.884605,40.846439
2013PI011773,42 PAERDEGAT 4 ST,,BROOKLYN,4/18/2013,,,2013PI011773,-73.909724,40.63161
2013PI011863,879 5 AV,830 4 AV,BROOKLYN,1/31/2013,,,2013PI011863,-74.003432,40.651729
2013PI011886,1565 TOWNSEND AV,,BRONX,3/18/2013,12/27/2013,8500,2013PI011886,-73.914434,40.843556
2013PI006604,BAY PARKWY,67 ST,BROOKLYN,1/24/2013,,,2013PI006604,-73.982659,40.6127
2013PI006702,245 E 149 ST,,BRONX,1/13/2013,,,2013PI006702,-73.923774,40.818124
2013PI006705,1001 OCEAN AV,,BROOKLYN,2/20/2013,5/23/2014,12500,2013PI006705,-73.958429,40.638138
2013PI006709,4044 LACONIA AV,,BRONX,2/26/2013,,,2013PI006709,-73.845149,40.885672
2013PI006723,526 W 166 ST,APT 2D,MANHATTAN,1/4/2013,,,2013PI006723,-73.939099,40.838993
2013PI006815,88 CORNELIA ST,,BROOKLYN,3/1/2013,,,2013PI006815,-73.915869,40.689486
2013PI006915,54-75 ALMEDA AV,,QUEENS,2/20/2013,3/18/2013,3000,2013PI006915,-73.78646,40.596292
2013PI006963,684 E 98 ST,,BROOKLYN,1/2/2013,,,2013PI006963,-73.909839,40.652894
2013PI006988,684 E 98 ST,,BROOKLYN,1/2/2013,,,2013PI006988,-73.909839,40.652894
2013PI007035,1280 E GUN HILL RD,,BRONX,2/28/2013,,,2013PI007035,-73.849408,40.871683
