#population,latitude,longitude,income,errormargin
1561,31.263754,-86.160337,34079,8589
2286,31.267832,-86.002082,38750,6590
2840,31.242741,-85.857334,55547,8112
2117,31.30065,-85.862494,35990,3712
3526,31.320275,-85.880744,47520,15521
2026,31.326636,-85.851701,38716,4658
8036,31.353268,-85.842317,85223,9534
8530,31.328237,-85.811893,50142,7580
4160,31.307577,-85.834333,20557,4733
3467,34.767585,-87.682056,40070,4163
1957,34.76634,-87.698792,36477,5754
2032,34.750754,-87.69922,21123,4980
1530,34.73918,-87.724382,66250,15002
5221,34.727826,-87.717555,39167,8955
4128,34.727825,-87.688795,31652,4316
6103,34.725208,-87.627549,56550,12914
5175,34.747097,-87.643749,52872,9031
4321,34.746096,-87.666238,40808,9168
4487,34.774589,-87.511374,44074,8445
3766,34.64951,-87.55036,32316,4725
4327,34.621584,-87.68912,40446,8018
3972,34.676977,-87.792979,40611,5887
3942,34.744365,-87.989717,34672,2167
1808,31.566229,-87.009381,41417,7314
1731,31.376225,-87.220729,33555,15456
3251,31.345217,-87.045989,23821,6471
1771,31.449638,-86.970927,24091,10713
4667,31.416676,-86.883468,24813,5071
3956,33.017405,-86.050486,26658,5949
3927,33.052684,-86.261848,41000,6268
3656,32.848615,-86.153482,37134,7688
4133,31.414036,-86.417599,43697,8297
4032,31.378662,-86.599177,38224,10041
3129,31.286223,-86.497596,26995,14882
2127,31.285125,-86.463932,41959,10114
3917,31.326487,-86.470913,33125,7831
2011,31.315247,-86.498117,22857,3418
3279,31.295007,-86.379889,48607,12159
3144,31.31432,-86.239905,45938,10550
1524,31.288794,-86.264969,25722,7148
1517,31.273172,-86.27291,17321,12223
1686,31.268578,-86.245538,41875,22532
1736,31.221156,-86.280662,36548,10134
1846,31.15871,-86.552449,36552,17264
3684,31.020099,-86.339433,25500,7492
1925,31.895674,-86.26353,38419,7289
1903,31.948367,-86.37222,42279,14056
3180,31.740069,-86.340612,35345,9983
3809,31.716549,-86.245139,38259,10325
1681,31.561522,-86.335322,33044,5452
1408,31.556352,-86.238145,45357,13671
5582,34.269506,-86.564397,42528,8383
7373,34.23685,-86.732455,40795,4462
5001,34.267002,-86.840888,45352,4391
4112,34.262996,-86.935298,36373,3936
4180,34.221922,-87.048311,40154,7231
4007,34.16379,-86.96505,40023,6595
4643,34.146367,-86.888114,39185,5660
4289,34.183523,-86.859428,30169,4491
6683,34.195742,-86.833643,39360,3429
6071,34.159246,-86.839288,36640,4799
3578,34.118882,-86.798832,34192,6392
2309,34.138816,-86.735732,51190,5003
4539,34.166121,-86.636945,39650,6735
3310,34.066509,-86.792292,31058,8634
4189,34.038902,-86.759682,35000,9206
5631,34.026335,-86.927781,45026,10973
2257,34.06522,-87.045198,43409,9959
2652,33.956045,-87.025536,42906,6115
4642,31.348216,-85.719445,51081,5229
3823,31.556754,-85.663793,46357,5906
2067,31.476968,-85.470143,53060,7861
